Part Name, Total Quantity Required, Note
LilyGo TTGO T7 v1.3 ESP32-WROVER-B + BMS, 1, 
Adafruit Precision NXP 9-DOF Breakout Board - FXOS8700 + FXAS21002, 1, 
103040 LiPo Battery 1S 1200mAh, 1, 
